PotentialFraud,num_unique_patients,avg_age,pct_male,pct_female,pct_deceased,num_inpatient_claims,inpatient_unique_patients,avg_inpatient_payment,total_inpatient_payment,max_inpatient_payment,avg_length_of_stay,max_length_of_stay,avg_inpatient_deductible,num_outpatient_claims,outpatient_unique_patients,avg_outpatient_payment,total_outpatient_payment,max_outpatient_payment,avg_claim_duration,avg_outpatient_deductible,state_freq
0,5.0,86.2,0.4,0.6,0.0,5.0,5.0,19400.0,97000.0,42000.0,5.0,14.0,1068.0,20.0,19.0,382.0,7640.0,1500.0,0.55,0.0,54
1,53.0,78.48387096774194,0.3387096774193548,0.6612903225806451,0.016129032258064516,62.0,53.0,9241.935483870968,573000.0,57000.0,5.161290322580645,27.0,1068.0,70.0,66.0,466.7142857142857,32670.0,3300.0,2.357142857142857,1.0,54
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,350.13422818791946,52170.0,3300.0,1.429530201342282,2.0805369127516777,3318
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,241.1244635193133,280910.0,4080.0,1.088412017167382,3.1759656652360513,3318
0,3.0,86.33333333333333,0.3333333333333333,0.6666666666666666,0.0,3.0,3.0,6333.333333333333,19000.0,10000.0,5.333333333333333,7.0,1068.0,69.0,56.0,213.18840579710144,14710.0,3300.0,0.7681159420289855,0.8695652173913043,54
0,2.0,59.0,0.5,0.5,0.0,2.0,2.0,12500.0,25000.0,21000.0,4.0,5.0,1068.0,41.0,34.0,259.2682926829268,10630.0,1900.0,1.4146341463414633,4.390243902439025,54
0,1.0,105.0,0.0,1.0,0.0,1.0,1.0,5000.0,5000.0,5000.0,5.0,5.0,1068.0,57.0,52.0,204.03508771929825,11630.0,1600.0,0.47368421052631576,5.2631578947368425,54
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,351.875,16890.0,3300.0,3.7083333333333335,2.0833333333333335,3318
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,323.4782608695652,14880.0,1800.0,1.4565217391304348,5.0,3318
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,349.3333333333333,10480.0,3300.0,0.4666666666666667,4.0,3318
